 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,4.641,55.280,0,255,21.678,0,255
2,8.958,110.870,0,255,43.478,0,255
3,10.711,25.500,0,255,10.000,0,255
4,0.779,0.000,0,0,0.000,0,255
5,6.654,7.463,0,255,2.927,0,255
6,11.490,45.381,0,255,17.797,0,255
7,3.473,0.000,0,0,0.000,0,255
8,8.634,34.511,0,255,13.534,0,255
9,8.179,47.560,0,255,18.651,0,255
10,6.751,8.582,0,255,3.365,0,255
11,9.964,38.208,0,255,14.984,0,255
12,6.394,40.127,0,255,15.736,0,255
13,1.525,65.106,0,255,25.532,0,255
14,5.615,14.740,0,255,5.780,0,255
15,8.536,0.000,0,0,0.000,0,255
16,5.420,36.647,0,255,14.371,0,255
17,9.542,29.490,0,255,11.565,0,255
18,9.770,35.581,0,255,13.953,0,255
19,5.193,22.312,0,255,8.750,0,255
20,6.102,27.128,0,255,10.638,0,255
21,8.212,8.063,0,255,3.162,0,255
22,2.240,92.391,0,255,36.232,0,255
23,7.400,17.895,0,255,7.018,0,255
24,2.597,0.000,0,0,0.000,0,255
25,9.835,7.574,0,255,2.970,0,255
26,7.498,41.948,0,255,16.450,0,255
27,11.133,34.942,0,255,13.703,0,255
28,11.620,14.246,0,255,5.587,0,255
29,6.978,11.860,0,255,4.651,0,255
30,13.113,47.339,0,255,18.564,0,255
31,9.250,11.632,0,255,4.561,0,255
32,8.536,49.449,0,255,19.392,0,255
33,9.120,39.021,0,255,15.302,0,255
34,6.264,0.000,0,0,0.000,0,255
35,13.600,17.649,0,255,6.921,0,255
36,6.719,27.101,0,255,10.628,0,255
37,12.756,61.641,0,255,24.173,0,255
38,2.726,0.000,0,0,0.000,0,255
39,2.434,0.000,0,0,0.000,0,255
40,5.940,22.295,0,255,8.743,0,255
41,4.090,48.571,0,255,19.048,0,255
42,7.855,44.256,0,255,17.355,0,255
43,4.739,0.000,0,0,0.000,0,255
44,8.958,29.565,0,255,11.594,0,255
45,5.453,0.000,0,0,0.000,0,255
46,6.491,0.000,0,0,0.000,0,255
47,14.638,18.659,0,255,7.317,0,255
48,8.406,7.876,0,255,3.089,0,255
49,8.861,11.209,0,255,4.396,0,255
50,9.283,67.762,0,255,26.573,0,255
51,8.114,125.460,0,255,49.200,0,255
52,7.043,30.553,0,255,11.982,0,255
53,6.719,134.275,0,255,52.657,0,255
54,4.869,61.200,0,255,24.000,0,255
55,5.226,38.012,0,255,14.907,0,255
56,0.811,0.000,0,0,0.000,0,255
57,7.173,33.462,0,255,13.122,0,255
58,6.394,1.294,0,255,0.508,0,255
59,5.063,26.154,0,255,10.256,0,255
60,7.920,7.316,0,255,2.869,0,255
61,7.400,5.592,0,255,2.193,0,255
62,10.484,18.947,0,255,7.430,0,255
63,6.362,41.633,0,255,16.327,0,255
64,5.063,11.442,0,255,4.487,0,255
65,2.694,79.880,0,255,31.325,0,255
66,14.249,45.888,0,255,17.995,0,255
67,6.167,25.500,0,255,10.000,0,255
68,7.855,7.376,0,255,2.893,0,255
69,13.405,56.186,0,255,22.034,0,255
70,0.974,0.000,0,0,0.000,0,255
71,9.770,24.568,0,255,9.635,0,255
72,6.069,0.000,0,0,0.000,0,255
73,9.542,141.378,0,255,55.442,0,255
