 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,2.369,94.315,0,255,36.986,0,255
2,1.623,0.000,0,0,0.000,0,255
3,6.751,131.178,0,255,51.442,0,255
4,2.110,133.385,0,255,52.308,0,255
5,2.467,0.000,0,0,0.000,0,255
6,2.661,0.000,0,0,0.000,0,255
7,13.892,49.451,0,255,19.393,0,255
8,11.133,46.093,0,255,18.076,0,255
9,10.451,92.655,0,255,36.335,0,255
10,2.240,0.000,0,0,0.000,0,255
11,10.451,37.220,0,255,14.596,0,255
12,6.848,0.000,0,0,0.000,0,255
13,5.842,83.583,0,255,32.778,0,255
14,1.720,0.000,0,0,0.000,0,255
15,6.427,0.000,0,0,0.000,0,255
16,2.889,94.551,0,255,37.079,0,255
17,5.096,90.955,0,255,35.669,0,255
18,8.049,83.286,0,255,32.661,0,255
19,7.303,61.200,0,255,24.000,0,255
20,8.114,74.460,0,255,29.200,0,255
21,9.315,111.063,0,255,43.554,0,255
22,7.855,57.955,0,255,22.727,0,255
23,9.088,86.518,0,255,33.929,0,255
24,10.711,0.000,0,0,0.000,0,255
25,6.167,0.000,0,0,0.000,0,255
26,12.496,118.558,0,255,46.494,0,255
27,8.277,0.000,0,0,0.000,0,255
28,7.433,51.223,0,255,20.087,0,255
29,2.434,0.000,0,0,0.000,0,255
30,7.108,54.726,0,255,21.461,0,255
31,3.830,110.212,0,255,43.220,0,255
32,13.924,48.147,0,255,18.881,0,255
33,8.406,112.239,0,255,44.015,0,255
34,5.291,0.000,0,0,0.000,0,255
35,7.530,64.849,0,255,25.431,0,255
36,5.648,0.000,0,0,0.000,0,255
37,2.564,0.000,0,0,0.000,0,255
38,8.926,75.109,0,255,29.455,0,255
39,2.434,0.000,0,0,0.000,0,255
40,6.654,114.439,0,255,44.878,0,255
41,7.011,94.444,0,255,37.037,0,255
42,1.688,0.000,0,0,0.000,0,255
43,2.597,0.000,0,0,0.000,0,255
44,2.434,0.000,0,0,0.000,0,255
45,3.051,0.000,0,0,0.000,0,255
46,6.297,44.691,0,255,17.526,0,255
47,7.238,61.749,0,255,24.215,0,255
48,6.978,15.419,0,255,6.047,0,255
49,7.303,111.067,0,255,43.556,0,255
50,4.869,0.000,0,0,0.000,0,255
51,1.915,95.085,0,255,37.288,0,255
52,5.810,18.520,0,255,7.263,0,255
53,8.731,9.480,0,255,3.717,0,255
54,5.777,116.039,0,255,45.506,0,255
55,2.012,0.000,0,0,0.000,0,255
56,14.541,70.011,0,255,27.455,0,255
57,7.627,42.319,0,255,16.596,0,255
58,2.369,0.000,0,0,0.000,0,255
59,7.530,65.948,0,255,25.862,0,255
60,7.822,65.602,0,255,25.726,0,255
61,7.887,30.432,0,255,11.934,0,255
62,7.822,45.498,0,255,17.842,0,255
63,8.114,61.200,0,255,24.000,0,255
64,5.485,0.000,0,0,0.000,0,255
65,6.816,0.000,0,0,0.000,0,255
66,11.490,33.136,0,255,12.994,0,255
67,5.972,20.788,0,255,8.152,0,255
68,4.966,61.667,0,255,24.183,0,255
69,7.238,72.040,0,255,28.251,0,255
70,5.907,180.742,0,255,70.879,0,255
71,13.567,0.000,0,0,0.000,0,255
72,2.499,0.000,0,0,0.000,0,255
73,8.926,0.000,0,0,0.000,0,255
74,7.920,49.119,0,255,19.262,0,255
75,12.496,68.221,0,255,26.753,0,255
76,13.470,8.602,0,255,3.373,0,255
77,1.493,0.000,0,0,0.000,0,255
78,2.597,0.000,0,0,0.000,0,255
79,2.856,0.000,0,0,0.000,0,255
80,8.179,57.679,0,255,22.619,0,255
81,8.666,85.000,0,255,33.333,0,255
82,6.329,64.077,0,255,25.128,0,255
83,0.811,244.800,0,255,96.000,0,255
84,6.848,73.720,0,255,28.910,0,255
85,2.726,0.000,0,0,0.000,0,255
86,5.583,111.192,0,255,43.605,0,255
87,2.434,0.000,0,0,0.000,0,255
88,11.457,119.915,0,255,47.025,0,255
89,5.485,18.107,0,255,7.101,0,255
90,7.692,43.038,0,255,16.878,0,255
91,5.810,19.944,0,255,7.821,0,255
92,6.524,57.090,0,255,22.388,0,255
93,6.232,55.781,0,255,21.875,0,255
94,10.224,0.000,0,0,0.000,0,255
95,6.848,101.517,0,255,39.810,0,255
96,6.069,0.000,0,0,0.000,0,255
97,9.867,0.000,0,0,0.000,0,255
98,7.822,0.000,0,0,0.000,0,255
99,9.542,52.908,0,255,20.748,0,255
100,5.777,54.438,0,255,21.348,0,255
101,9.283,78.462,0,255,30.769,0,255
102,2.726,0.000,0,0,0.000,0,255
103,2.207,0.000,0,0,0.000,0,255
104,5.810,74.078,0,255,29.050,0,255
105,2.240,0.000,0,0,0.000,0,255
106,5.712,86.932,0,255,34.091,0,255
107,9.770,78.787,0,255,30.897,0,255
108,2.402,0.000,0,0,0.000,0,255
109,4.057,0.000,0,0,0.000,0,255
110,2.597,76.500,0,255,30.000,0,255
111,2.499,29.805,0,255,11.688,0,255
112,6.719,55.435,0,255,21.739,0,255
113,7.822,73.008,0,255,28.631,0,255
114,11.100,140.921,0,255,55.263,0,255
115,8.114,79.560,0,255,31.200,0,255
116,7.660,73.475,0,255,28.814,0,255
117,3.960,35.533,0,255,13.934,0,255
118,2.759,0.000,0,0,0.000,0,255
119,8.828,13.125,0,255,5.147,0,255
120,8.179,0.000,0,0,0.000,0,255
121,4.869,149.600,0,255,58.667,0,255
122,2.434,0.000,0,0,0.000,0,255
123,9.575,91.627,0,255,35.932,0,255
124,1.980,0.000,0,0,0.000,0,255
125,7.627,145.404,0,255,57.021,0,255
126,6.037,223.468,0,255,87.634,0,255
127,12.756,27.901,0,255,10.941,0,255
128,7.433,134.738,0,255,52.838,0,255
129,8.406,104.363,0,255,40.927,0,255
130,6.751,137.308,0,255,53.846,0,255
131,6.784,51.244,0,255,20.096,0,255
132,10.808,101.081,0,255,39.640,0,255
133,7.530,64.849,0,255,25.431,0,255
134,1.947,0.000,0,0,0.000,0,255
135,0.974,102.000,0,255,40.000,0,255
136,2.434,0.000,0,0,0.000,0,255
137,2.434,0.000,0,0,0.000,0,255
138,2.207,0.000,0,0,0.000,0,255
139,2.986,13.859,0,255,5.435,0,255
140,10.678,30.228,0,255,11.854,0,255
141,1.980,0.000,0,0,0.000,0,255
142,7.530,176.961,0,255,69.397,0,255
143,6.427,63.106,0,255,24.747,0,255
144,5.907,33.626,0,255,13.187,0,255
145,8.471,114.310,0,255,44.828,0,255
146,10.451,139.379,0,255,54.658,0,255
147,1.883,0.000,0,0,0.000,0,255
148,2.207,30.000,0,255,11.765,0,255
149,2.207,0.000,0,0,0.000,0,255
150,11.977,30.407,0,255,11.924,0,255
151,8.017,131.113,0,255,51.417,0,255
152,6.621,142.500,0,255,55.882,0,255
153,9.672,61.611,0,255,24.161,0,255
154,8.763,21.722,0,255,8.519,0,255
155,6.946,72.687,0,255,28.505,0,255
156,4.869,37.400,0,255,14.667,0,255
157,10.256,108.940,0,255,42.722,0,255
158,4.706,75.621,0,255,29.655,0,255
159,8.212,11.087,0,255,4.348,0,255
160,13.178,122.475,0,255,48.030,0,255
161,2.207,0.000,0,0,0.000,0,255
162,7.887,85.000,0,255,33.333,0,255
163,2.467,0.000,0,0,0.000,0,255
164,1.525,0.000,0,0,0.000,0,255
165,2.986,0.000,0,0,0.000,0,255
166,7.530,49.461,0,255,19.397,0,255
167,5.615,41.272,0,255,16.185,0,255
168,6.978,228.907,0,255,89.767,0,255
169,6.362,48.138,0,255,18.878,0,255
170,6.232,91.641,0,255,35.938,0,255
171,10.549,72.969,0,255,28.615,0,255
172,2.499,0.000,0,0,0.000,0,255
173,7.368,153.899,0,255,60.352,0,255
174,7.368,0.000,0,0,0.000,0,255
175,7.790,60.562,0,255,23.750,0,255
176,7.465,3.326,0,255,1.304,0,255
177,2.434,0.000,0,0,0.000,0,255
178,2.434,0.000,0,0,0.000,0,255
179,6.524,105.299,0,255,41.294,0,255
180,13.372,48.896,0,255,19.175,0,255
181,11.555,16.475,0,255,6.461,0,255
182,10.386,145.031,0,255,56.875,0,255
183,1.980,0.000,0,0,0.000,0,255
184,12.723,44.885,0,255,17.602,0,255
185,2.175,0.000,0,0,0.000,0,255
186,6.427,139.091,0,255,54.545,0,255
187,2.889,0.000,0,0,0.000,0,255
188,4.966,51.667,0,255,20.261,0,255
189,6.427,77.273,0,255,30.303,0,255
190,7.790,176.375,0,255,69.167,0,255
191,0.974,0.000,0,0,0.000,0,255
192,9.542,4.337,0,255,1.701,0,255
193,3.668,0.000,0,0,0.000,0,255
194,5.940,57.131,0,255,22.404,0,255
195,4.187,77.093,0,255,30.233,0,255
196,6.134,78.254,0,255,30.688,0,255
197,9.997,0.000,0,0,0.000,0,255
198,10.062,73.210,0,255,28.710,0,255
199,11.100,12.675,0,255,4.971,0,255
200,1.947,0.000,0,0,0.000,0,255
201,7.563,62.382,0,255,24.464,0,255
202,4.609,100.563,0,255,39.437,0,255
203,7.076,8.188,0,255,3.211,0,255
204,9.770,154.186,0,255,60.465,0,255
205,13.307,31.098,0,255,12.195,0,255
206,2.240,0.000,0,0,0.000,0,255
207,5.745,82.119,0,255,32.203,0,255
208,1.980,0.000,0,0,0.000,0,255
209,9.510,152.304,0,255,59.727,0,255
210,5.063,0.000,0,0,0.000,0,255
211,2.207,0.000,0,0,0.000,0,255
212,6.362,48.138,0,255,18.878,0,255
213,2.434,0.000,0,0,0.000,0,255
214,13.827,108.345,0,255,42.488,0,255
215,5.907,42.033,0,255,16.484,0,255
216,7.498,29.805,0,255,11.688,0,255
217,1.785,0.000,0,0,0.000,0,255
218,2.207,0.000,0,0,0.000,0,255
219,10.808,35.225,0,255,13.814,0,255
220,7.822,62.427,0,255,24.481,0,255
221,2.207,0.000,0,0,0.000,0,255
222,7.725,94.286,0,255,36.975,0,255
223,5.648,46.897,0,255,18.391,0,255
224,2.726,0.000,0,0,0.000,0,255
