 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,6.005,49.622,0,255,19.459,0,255
2,9.932,50.833,0,255,19.935,0,255
3,8.406,18.707,0,255,7.336,0,255
4,6.913,0.000,0,0,0.000,0,255
5,2.921,0.000,0,0,0.000,0,255
6,7.335,37.235,0,255,14.602,0,255
7,6.621,43.750,0,255,17.157,0,255
8,5.161,6.415,0,255,2.516,0,255
9,6.199,45.393,0,255,17.801,0,255
10,4.252,62.290,0,255,24.427,0,255
11,2.142,0.000,0,0,0.000,0,255
12,2.759,48.000,0,255,18.824,0,255
13,4.512,34.856,0,255,13.669,0,255
14,11.068,16.452,0,255,6.452,0,255
15,6.881,32.476,0,255,12.736,0,255
16,12.107,16.408,0,255,6.434,0,255
17,2.207,0.000,0,0,0.000,0,255
18,6.719,35.725,0,255,14.010,0,255
19,13.178,16.330,0,255,6.404,0,255
20,8.796,68.690,0,255,26.937,0,255
21,6.524,8.881,0,255,3.483,0,255
22,5.031,55.935,0,255,21.935,0,255
23,7.205,62.027,0,255,24.324,0,255
24,2.954,0.000,0,0,0.000,0,255
25,7.076,5.849,0,255,2.294,0,255
26,2.207,0.000,0,0,0.000,0,255
27,2.726,0.000,0,0,0.000,0,255
28,10.029,0.000,0,0,0.000,0,255
29,5.875,0.000,0,0,0.000,0,255
30,8.439,0.000,0,0,0.000,0,255
31,11.944,20.095,0,255,7.880,0,255
32,11.230,1.474,0,255,0.578,0,255
33,1.720,0.000,0,0,0.000,0,255
34,2.499,0.000,0,0,0.000,0,255
35,6.264,43.601,0,255,17.098,0,255
36,5.226,25.342,0,255,9.938,0,255
37,5.648,0.000,0,0,0.000,0,255
38,5.258,37.778,0,255,14.815,0,255
39,4.998,31.461,0,255,12.338,0,255
40,6.297,27.603,0,255,10.825,0,255
41,10.321,68.962,0,255,27.044,0,255
42,9.575,47.542,0,255,18.644,0,255
43,1.136,0.000,0,0,0.000,0,255
44,10.516,3.935,0,255,1.543,0,255
45,6.946,0.000,0,0,0.000,0,255
46,6.329,53.615,0,255,21.026,0,255
47,5.810,0.000,0,0,0.000,0,255
48,14.086,109.286,0,255,42.857,0,255
49,3.376,0.000,0,0,0.000,0,255
50,2.142,0.000,0,0,0.000,0,255
51,2.467,0.000,0,0,0.000,0,255
52,2.986,0.000,0,0,0.000,0,255
53,2.369,0.000,0,0,0.000,0,255
54,1.461,102.000,0,255,40.000,0,255
55,2.207,0.000,0,0,0.000,0,255
56,7.627,7.596,0,255,2.979,0,255
57,2.207,0.000,0,0,0.000,0,255
