 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,8.082,68.614,0,255,26.908,0,255
2,3.278,0.000,0,0,0.000,0,255
3,2.499,0.000,0,0,0.000,0,255
4,3.083,144.947,0,255,56.842,0,255
5,3.765,0.000,0,0,0.000,0,255
6,2.824,170.000,0,255,66.667,0,255
7,0.682,0.000,0,0,0.000,0,255
8,1.590,109.286,0,255,42.857,0,255
9,5.972,0.000,0,0,0.000,0,255
10,2.824,128.966,0,255,50.575,0,255
11,4.901,104.702,0,255,41.060,0,255
12,5.193,113.156,0,255,44.375,0,255
13,2.467,0.000,0,0,0.000,0,255
14,2.240,110.870,0,255,43.478,0,255
15,3.570,0.000,0,0,0.000,0,255
16,2.564,0.000,0,0,0.000,0,255
17,7.011,41.319,0,255,16.204,0,255
18,13.210,119.668,0,255,46.929,0,255
19,6.524,58.358,0,255,22.886,0,255
20,7.205,73.514,0,255,28.829,0,255
21,6.589,0.000,0,0,0.000,0,255
22,7.205,42.500,0,255,16.667,0,255
23,5.712,0.000,0,0,0.000,0,255
24,5.161,22.453,0,255,8.805,0,255
25,14.671,235.254,0,255,92.257,0,255
26,8.731,168.736,0,255,66.171,0,255
27,2.986,0.000,0,0,0.000,0,255
28,7.887,0.000,0,0,0.000,0,255
29,2.369,0.000,0,0,0.000,0,255
30,6.816,191.857,0,255,75.238,0,255
31,9.185,54.064,0,255,21.201,0,255
32,2.986,0.000,0,0,0.000,0,255
33,8.926,76.036,0,255,29.818,0,255
34,2.434,0.000,0,0,0.000,0,255
35,2.694,0.000,0,0,0.000,0,255
36,5.096,0.000,0,0,0.000,0,255
37,13.697,41.694,0,255,16.351,0,255
38,8.082,170.000,0,255,66.667,0,255
39,6.784,69.545,0,255,27.273,0,255
40,1.493,0.000,0,0,0.000,0,255
41,6.459,52.538,0,255,20.603,0,255
42,9.250,0.000,0,0,0.000,0,255
43,7.141,0.000,0,0,0.000,0,255
44,7.108,5.822,0,255,2.283,0,255
45,8.147,68.068,0,255,26.693,0,255
46,7.108,39.589,0,255,15.525,0,255
47,6.069,43.636,0,255,17.112,0,255
48,6.881,146.745,0,255,57.547,0,255
49,8.634,72.857,0,255,28.571,0,255
50,9.997,0.000,0,0,0.000,0,255
51,9.185,63.074,0,255,24.735,0,255
52,3.246,0.000,0,0,0.000,0,255
53,2.369,0.000,0,0,0.000,0,255
54,5.810,1.425,0,255,0.559,0,255
55,10.321,50.519,0,255,19.811,0,255
56,2.434,0.000,0,0,0.000,0,255
57,5.745,80.678,0,255,31.638,0,255
58,14.216,155.445,0,255,60.959,0,255
59,4.836,107.819,0,255,42.282,0,255
60,10.776,3.840,0,255,1.506,0,255
61,1.980,0.000,0,0,0.000,0,255
62,7.725,58.929,0,255,23.109,0,255
63,5.485,0.000,0,0,0.000,0,255
64,8.244,0.000,0,0,0.000,0,255
65,6.556,151.485,0,255,59.406,0,255
66,5.615,42.746,0,255,16.763,0,255
67,10.289,14.479,0,255,5.678,0,255
68,4.804,63.750,0,255,25.000,0,255
69,5.907,33.626,0,255,13.187,0,255
70,2.532,0.000,0,0,0.000,0,255
71,9.802,38.841,0,255,15.232,0,255
72,2.597,0.000,0,0,0.000,0,255
73,9.705,0.000,0,0,0.000,0,255
74,4.966,46.667,0,255,18.301,0,255
75,5.583,0.000,0,0,0.000,0,255
76,13.697,207.263,0,255,81.280,0,255
77,10.613,92.018,0,255,36.086,0,255
78,7.530,67.047,0,255,26.293,0,255
79,14.411,32.162,0,255,12.613,0,255
80,5.615,79.595,0,255,31.214,0,255
81,8.277,37.000,0,255,14.510,0,255
82,2.759,0.000,0,0,0.000,0,255
83,14.638,161.142,0,255,63.193,0,255
