 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,5.031,39.484,0,255,15.484,0,255
2,13.437,0.000,0,0,0.000,0,255
3,2.921,19.833,0,255,7.778,0,255
4,0.779,0.000,0,0,0.000,0,255
5,11.392,58.120,0,255,22.792,0,255
6,8.763,55.722,0,255,21.852,0,255
7,5.388,7.681,0,255,3.012,0,255
8,10.906,49.330,0,255,19.345,0,255
9,7.984,0.000,0,0,0.000,0,255
10,5.680,33.514,0,255,13.143,0,255
11,7.530,0.000,0,0,0.000,0,255
12,8.082,7.169,0,255,2.811,0,255
13,8.634,50.808,0,255,19.925,0,255
14,2.499,0.000,0,0,0.000,0,255
15,2.499,0.000,0,0,0.000,0,255
16,12.561,9.884,0,255,3.876,0,255
17,7.400,32.434,0,255,12.719,0,255
18,2.597,0.000,0,0,0.000,0,255
19,12.788,3.236,0,255,1.269,0,255
20,2.726,0.000,0,0,0.000,0,255
21,4.057,48.960,0,255,19.200,0,255
22,4.512,0.000,0,0,0.000,0,255
23,9.380,10.588,0,255,4.152,0,255
24,2.921,0.000,0,0,0.000,0,255
25,2.240,0.000,0,0,0.000,0,255
26,1.753,0.000,0,0,0.000,0,255
27,6.394,18.122,0,255,7.107,0,255
28,13.405,35.194,0,255,13.801,0,255
29,6.654,42.293,0,255,16.585,0,255
30,7.270,50.089,0,255,19.643,0,255
31,2.694,0.000,0,0,0.000,0,255
32,7.627,7.596,0,255,2.979,0,255
33,2.467,0.000,0,0,0.000,0,255
34,13.632,4.857,0,255,1.905,0,255
35,12.269,17.540,0,255,6.878,0,255
36,4.155,0.000,0,0,0.000,0,255
37,2.272,0.000,0,0,0.000,0,255
38,6.556,23.985,0,255,9.406,0,255
39,13.405,5.557,0,255,2.179,0,255
40,6.394,111.320,0,255,43.655,0,255
41,7.108,5.822,0,255,2.283,0,255
42,1.720,0.000,0,0,0.000,0,255
43,1.136,0.000,0,0,0.000,0,255
44,2.240,0.000,0,0,0.000,0,255
45,10.029,9.903,0,255,3.883,0,255
46,8.341,9.922,0,255,3.891,0,255
47,10.354,15.987,0,255,6.270,0,255
48,8.991,54.314,0,255,21.300,0,255
49,2.240,0.000,0,0,0.000,0,255
50,7.627,57.511,0,255,22.553,0,255
51,5.648,48.362,0,255,18.966,0,255
52,6.556,37.871,0,255,14.851,0,255
53,2.434,0.000,0,0,0.000,0,255
54,2.240,0.000,0,0,0.000,0,255
55,5.420,62.605,0,255,24.551,0,255
56,9.477,24.452,0,255,9.589,0,255
57,7.887,7.346,0,255,2.881,0,255
58,5.875,85.939,0,255,33.702,0,255
59,2.661,0.000,0,0,0.000,0,255
60,8.828,8.438,0,255,3.309,0,255
61,2.499,0.000,0,0,0.000,0,255
62,5.907,0.000,0,0,0.000,0,255
63,2.499,0.000,0,0,0.000,0,255
64,3.733,33.261,0,255,13.043,0,255
65,6.199,56.073,0,255,21.990,0,255
66,14.671,53.595,0,255,21.018,0,255
67,6.069,19.091,0,255,7.487,0,255
68,12.042,48.113,0,255,18.868,0,255
69,14.638,25.443,0,255,9.978,0,255
70,3.213,0.000,0,0,0.000,0,255
71,5.063,57.212,0,255,22.436,0,255
72,2.240,0.000,0,0,0.000,0,255
73,11.522,0.000,0,0,0.000,0,255
74,2.369,0.000,0,0,0.000,0,255
75,2.434,0.000,0,0,0.000,0,255
76,10.971,17.352,0,255,6.805,0,255
77,8.666,66.854,0,255,26.217,0,255
78,13.275,0.000,0,0,0.000,0,255
79,8.504,0.000,0,0,0.000,0,255
80,7.108,10.479,0,255,4.110,0,255
81,5.810,29.916,0,255,11.732,0,255
82,2.499,0.000,0,0,0.000,0,255
83,7.205,13.784,0,255,5.405,0,255
84,8.893,0.000,0,0,0.000,0,255
85,2.661,0.000,0,0,0.000,0,255
86,8.991,82.852,0,255,32.491,0,255
87,11.165,53.372,0,255,20.930,0,255
88,8.731,28.439,0,255,11.152,0,255
89,8.634,0.000,0,0,0.000,0,255
90,6.264,0.000,0,0,0.000,0,255
91,5.193,33.469,0,255,13.125,0,255
92,6.167,0.000,0,0,0.000,0,255
93,8.017,4.130,0,255,1.619,0,255
94,5.485,0.000,0,0,0.000,0,255
95,6.005,35.838,0,255,14.054,0,255
96,9.445,0.000,0,0,0.000,0,255
97,1.493,0.000,0,0,0.000,0,255
