 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,3.019,0.000,0,0,0.000,0,255
2,2.954,42.033,0,255,16.484,0,255
3,7.984,22.805,0,255,8.943,0,255
4,12.626,59.653,0,255,23.393,0,255
5,2.012,32.903,0,255,12.903,0,255
6,2.726,9.107,0,255,3.571,0,255
7,1.818,50.089,0,255,19.643,0,255
8,1.883,131.897,0,255,51.724,0,255
9,1.136,14.571,0,255,5.714,0,255
10,14.281,64.909,0,255,25.455,0,255
11,4.512,11.007,0,255,4.317,0,255
12,0.779,74.375,0,255,29.167,0,255
13,5.940,0.000,0,0,0.000,0,255
14,1.493,55.435,0,255,21.739,0,255
15,11.717,190.014,0,255,74.515,0,255
16,1.655,125.000,0,255,49.020,0,255
17,2.240,103.478,0,255,40.580,0,255
18,7.595,22.885,0,255,8.974,0,255
19,10.127,27.788,0,255,10.897,0,255
20,6.654,19.902,0,255,7.805,0,255
21,7.627,57.511,0,255,22.553,0,255
22,7.920,21.947,0,255,8.607,0,255
23,5.161,0.000,0,0,0.000,0,255
24,5.128,17.753,0,255,6.962,0,255
25,1.331,18.659,0,255,7.317,0,255
26,3.181,23.418,0,255,9.184,0,255
27,6.102,0.000,0,0,0.000,0,255
28,7.790,27.625,0,255,10.833,0,255
29,5.907,22.418,0,255,8.791,0,255
30,7.076,0.000,0,0,0.000,0,255
31,10.743,80.891,0,255,31.722,0,255
32,4.674,21.250,0,255,8.333,0,255
33,2.045,0.000,0,0,0.000,0,255
34,9.964,44.023,0,255,17.264,0,255
35,11.198,22.174,0,255,8.696,0,255
36,13.405,27.785,0,255,10.896,0,255
37,2.207,11.250,0,255,4.412,0,255
38,8.536,25.209,0,255,9.886,0,255
39,9.380,43.235,0,255,16.955,0,255
40,5.842,17.000,0,255,6.667,0,255
41,9.802,10.132,0,255,3.974,0,255
42,1.655,50.000,0,255,19.608,0,255
43,10.678,12.401,0,255,4.863,0,255
44,1.331,0.000,0,0,0.000,0,255
45,8.309,61.758,0,255,24.219,0,255
46,13.080,22.779,0,255,8.933,0,255
47,5.550,0.000,0,0,0.000,0,255
48,4.090,107.262,0,255,42.063,0,255
49,6.362,76.760,0,255,30.102,0,255
50,8.731,11.375,0,255,4.461,0,255
51,6.784,23.182,0,255,9.091,0,255
52,1.525,0.000,0,0,0.000,0,255
53,11.522,46.690,0,255,18.310,0,255
54,5.907,7.005,0,255,2.747,0,255
55,13.859,29.262,0,255,11.475,0,255
56,8.439,12.750,0,255,5.000,0,255
57,8.828,1.875,0,255,0.735,0,255
58,2.954,0.000,0,0,0.000,0,255
59,13.048,24.104,0,255,9.453,0,255
60,9.964,24.919,0,255,9.772,0,255
61,8.504,41.851,0,255,16.412,0,255
62,6.621,23.750,0,255,9.314,0,255
63,6.297,73.608,0,255,28.866,0,255
64,9.283,28.531,0,255,11.189,0,255
65,8.699,64.701,0,255,25.373,0,255
66,1.168,21.250,0,255,8.333,0,255
67,14.314,60.714,0,255,23.810,0,255
68,13.015,40.698,0,255,15.960,0,255
69,5.712,31.875,0,255,12.500,0,255
70,14.768,33.626,0,255,13.187,0,255
71,6.784,8.541,0,255,3.349,0,255
72,11.035,39.000,0,255,15.294,0,255
73,7.790,31.875,0,255,12.500,0,255
74,8.991,23.935,0,255,9.386,0,255
75,6.005,77.189,0,255,30.270,0,255
76,12.626,12.455,0,255,4.884,0,255
77,8.926,0.000,0,0,0.000,0,255
78,2.467,40.263,0,255,15.789,0,255
79,7.335,42.876,0,255,16.814,0,255
80,5.258,44.074,0,255,17.284,0,255
81,2.434,30.600,0,255,12.000,0,255
82,8.471,13.678,0,255,5.364,0,255
83,12.885,46.889,0,255,18.388,0,255
84,2.499,49.675,0,255,19.481,0,255
85,0.974,0.000,0,0,0.000,0,255
86,5.323,65.305,0,255,25.610,0,255
87,8.666,20.056,0,255,7.865,0,255
88,6.881,0.000,0,0,0.000,0,255
89,1.688,0.000,0,0,0.000,0,255
90,6.102,103.085,0,255,40.426,0,255
91,5.583,20.756,0,255,8.140,0,255
92,5.745,4.322,0,255,1.695,0,255
93,7.563,39.399,0,255,15.451,0,255
94,2.726,21.250,0,255,8.333,0,255
95,9.088,28.232,0,255,11.071,0,255
96,5.096,32.484,0,255,12.739,0,255
97,2.954,0.000,0,0,0.000,0,255
98,2.564,38.734,0,255,15.190,0,255
99,8.861,70.055,0,255,27.473,0,255
100,5.128,43.576,0,255,17.089,0,255
101,3.343,22.282,0,255,8.738,0,255
102,3.051,0.000,0,0,0.000,0,255
103,8.082,61.446,0,255,24.096,0,255
104,0.974,0.000,0,0,0.000,0,255
105,7.757,19.205,0,255,7.531,0,255
106,6.459,20.503,0,255,8.040,0,255
107,8.796,84.686,0,255,33.210,0,255
108,14.898,37.778,0,255,14.815,0,255
109,7.595,21.795,0,255,8.547,0,255
110,14.476,24.585,0,255,9.641,0,255
111,6.264,33.031,0,255,12.953,0,255
112,11.425,31.875,0,255,12.500,0,255
113,7.433,38.974,0,255,15.284,0,255
114,6.167,29.526,0,255,11.579,0,255
115,11.100,51.447,0,255,20.175,0,255
116,8.893,0.000,0,0,0.000,0,255
117,6.654,44.780,0,255,17.561,0,255
118,1.331,12.439,0,255,4.878,0,255
119,6.394,152.741,0,255,59.898,0,255
120,4.966,71.667,0,255,28.105,0,255
121,4.317,40.263,0,255,15.789,0,255
122,6.978,51.000,0,255,20.000,0,255
123,2.889,0.000,0,0,0.000,0,255
124,6.102,17.633,0,255,6.915,0,255
125,3.765,0.000,0,0,0.000,0,255
126,8.114,7.140,0,255,2.800,0,255
127,7.173,10.385,0,255,4.072,0,255
128,1.168,49.583,0,255,19.444,0,255
129,7.952,20.816,0,255,8.163,0,255
130,7.205,37.905,0,255,14.865,0,255
131,3.797,95.897,0,255,37.607,0,255
132,4.219,0.000,0,0,0.000,0,255
133,4.479,57.283,0,255,22.464,0,255
134,4.804,6.892,0,255,2.703,0,255
135,7.303,30.600,0,255,12.000,0,255
136,12.399,91.453,0,255,35.864,0,255
137,2.369,0.000,0,0,0.000,0,255
138,5.615,39.798,0,255,15.607,0,255
139,2.467,174.474,0,255,68.421,0,255
140,12.723,83.916,0,255,32.908,0,255
141,6.491,20.400,0,255,8.000,0,255
142,9.056,46.613,0,255,18.280,0,255
143,11.003,37.611,0,255,14.749,0,255
144,8.471,29.310,0,255,11.494,0,255
145,8.536,99.867,0,255,39.163,0,255
146,12.528,25.104,0,255,9.845,0,255
147,4.414,63.750,0,255,25.000,0,255
148,3.797,34.872,0,255,13.675,0,255
149,1.168,77.917,0,255,30.556,0,255
150,6.459,42.286,0,255,16.583,0,255
151,6.524,15.224,0,255,5.970,0,255
152,6.232,45.156,0,255,17.708,0,255
153,8.861,91.538,0,255,35.897,0,255
154,6.751,31.875,0,255,12.500,0,255
155,0.811,0.000,0,0,0.000,0,255
156,1.298,255.000,255,255,100.000,0,255
157,11.328,11.691,0,255,4.585,0,255
158,8.958,19.402,0,255,7.609,0,255
159,7.303,77.067,0,255,30.222,0,255
160,10.029,4.951,0,255,1.942,0,255
161,5.063,19.615,0,255,7.692,0,255
162,0.974,0.000,0,0,0.000,0,255
163,1.980,117.049,0,255,45.902,0,255
164,0.811,0.000,0,0,0.000,0,255
165,5.810,95.447,0,255,37.430,0,255
166,5.648,0.000,0,0,0.000,0,255
167,1.493,0.000,0,0,0.000,0,255
168,5.875,73.260,0,255,28.729,0,255
169,0.811,51.000,0,255,20.000,0,255
170,11.814,7.005,0,255,2.747,0,255
171,7.725,174.643,0,255,68.487,0,255
172,5.875,16.906,0,255,6.630,0,255
173,4.284,46.364,0,255,18.182,0,255
174,6.134,28.333,0,255,11.111,0,255
175,9.250,17.000,0,255,6.667,0,255
176,2.791,0.000,0,0,0.000,0,255
177,5.193,14.344,0,255,5.625,0,255
178,9.607,41.351,0,255,16.216,0,255
179,8.309,42.832,0,255,16.797,0,255
180,4.739,115.274,0,255,45.205,0,255
181,4.122,52.205,0,255,20.472,0,255
182,0.811,0.000,0,0,0.000,0,255
183,6.199,38.717,0,255,15.183,0,255
184,5.161,16.038,0,255,6.289,0,255
185,0.811,0.000,0,0,0.000,0,255
186,0.811,0.000,0,0,0.000,0,255
187,0.811,0.000,0,0,0.000,0,255
188,6.913,100.563,0,255,39.437,0,255
189,3.051,141.064,0,255,55.319,0,255
190,7.270,66.027,0,255,25.893,0,255
191,6.881,16.840,0,255,6.604,0,255
192,9.218,30.528,0,255,11.972,0,255
193,12.885,54.597,0,255,21.411,0,255
194,3.181,0.000,0,0,0.000,0,255
195,7.368,26.960,0,255,10.573,0,255
196,11.328,68.682,0,255,26.934,0,255
197,5.745,170.000,0,255,66.667,0,255
198,6.816,76.500,0,255,30.000,0,255
199,12.301,33.641,0,255,13.193,0,255
200,5.453,0.000,0,0,0.000,0,255
201,4.544,142.071,0,255,55.714,0,255
202,6.264,35.674,0,255,13.990,0,255
203,14.314,136.463,0,255,53.515,0,255
204,6.816,41.286,0,255,16.190,0,255
205,12.366,97.717,0,255,38.320,0,255
206,9.542,11.276,0,255,4.422,0,255
207,4.414,0.000,0,0,0.000,0,255
208,5.193,74.906,0,255,29.375,0,255
209,11.263,13.963,0,255,5.476,0,255
