 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,2.272,32.786,0,255,12.857,0,255
2,5.907,35.027,0,255,13.736,0,255
3,1.915,90.763,0,255,35.593,0,255
4,2.759,27.000,0,255,10.588,0,255
5,6.427,25.758,0,255,10.101,0,255
6,5.583,32.616,0,255,12.791,0,255
7,9.737,22.100,0,255,8.667,0,255
8,5.031,31.258,0,255,12.258,0,255
9,5.842,0.000,0,0,0.000,0,255
10,7.335,22.566,0,255,8.850,0,255
11,2.337,74.375,0,255,29.167,0,255
12,10.159,30.144,0,255,11.821,0,255
13,14.541,34.152,0,255,13.393,0,255
14,6.816,40.071,0,255,15.714,0,255
15,7.627,29.298,0,255,11.489,0,255
16,9.575,60.508,0,255,23.729,0,255
17,6.297,0.000,0,0,0.000,0,255
18,4.998,34.773,0,255,13.636,0,255
19,5.518,40.500,0,255,15.882,0,255
20,6.037,17.823,0,255,6.989,0,255
21,9.056,0.000,0,0,0.000,0,255
22,6.232,45.156,0,255,17.708,0,255
23,12.950,23.647,0,255,9.273,0,255
24,11.035,14.250,0,255,5.588,0,255
25,8.017,21.680,0,255,8.502,0,255
26,6.524,24.104,0,255,9.453,0,255
27,4.155,25.898,0,255,10.156,0,255
28,1.688,0.000,0,0,0.000,0,255
29,5.680,29.143,0,255,11.429,0,255
30,12.561,62.597,0,255,24.548,0,255
31,7.920,34.488,0,255,13.525,0,255
32,5.355,49.455,0,255,19.394,0,255
33,6.167,44.289,0,255,17.368,0,255
34,6.524,26.642,0,255,10.448,0,255
35,6.199,0.000,0,0,0.000,0,255
36,7.335,7.898,0,255,3.097,0,255
37,7.076,22.225,0,255,8.716,0,255
38,12.107,34.866,0,255,13.673,0,255
39,6.686,19.806,0,255,7.767,0,255
40,6.362,2.602,0,255,1.020,0,255
41,4.933,57.039,0,255,22.368,0,255
42,4.933,0.000,0,0,0.000,0,255
43,8.601,32.717,0,255,12.830,0,255
44,6.978,52.186,0,255,20.465,0,255
45,5.583,28.169,0,255,11.047,0,255
46,6.264,3.964,0,255,1.554,0,255
47,10.029,34.660,0,255,13.592,0,255
48,7.920,12.541,0,255,4.918,0,255
