 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,14.144,28.307,0,255,11.101,0,255
2,1.884,31.875,0,255,12.500,0,255
3,2.250,37.064,0,255,14.535,0,255
4,0.798,41.803,0,255,16.393,0,255
5,2.538,31.546,0,255,12.371,0,255
6,13.124,34.068,0,255,13.360,0,255
7,3.742,38.339,0,255,15.035,0,255
8,13.333,17.517,0,255,6.869,0,255
9,2.905,49.392,0,255,19.369,0,255
10,2.290,0.000,0,0,0.000,0,255
11,5.561,31.800,0,255,12.471,0,255
12,2.198,0.000,0,0,0.000,0,255
13,0.798,37.623,0,255,14.754,0,255
14,3.009,64.304,0,255,25.217,0,255
15,2.852,0.000,0,0,0.000,0,255
16,4.226,6.316,0,255,2.477,0,255
17,2.695,18.568,0,255,7.282,0,255
18,2.329,35.815,0,255,14.045,0,255
19,2.643,0.000,0,0,0.000,0,255
20,2.264,30.954,0,255,12.139,0,255
21,8.596,20.571,0,255,8.067,0,255
22,3.022,103.766,0,255,40.693,0,255
23,7.523,54.104,0,255,21.217,0,255
24,2.316,5.763,0,255,2.260,0,255
25,3.245,55.524,0,255,21.774,0,255
26,2.551,45.769,0,255,17.949,0,255
27,5.273,73.400,0,255,28.784,0,255
28,2.316,21.610,0,255,8.475,0,255
29,13.267,125.991,0,255,49.408,0,255
30,3.729,24.158,0,255,9.474,0,255
31,2.028,64.161,0,255,25.161,0,255
32,3.310,113.893,0,255,44.664,0,255
33,2.159,0.000,0,0,0.000,0,255
34,3.899,0.000,0,0,0.000,0,255
35,5.993,30.622,0,255,12.009,0,255
36,2.525,62.098,0,255,24.352,0,255
37,2.551,66.692,0,255,26.154,0,255
38,0.772,47.542,0,255,18.644,0,255
39,8.099,25.541,0,255,10.016,0,255
40,3.062,77.372,0,255,30.342,0,255
41,2.447,25.909,0,255,10.160,0,255
42,2.617,11.475,0,255,4.500,0,255
43,7.131,59.422,0,255,23.303,0,255
44,3.651,36.559,0,255,14.337,0,255
45,2.787,53.873,0,255,21.127,0,255
46,5.849,57.047,0,255,22.371,0,255
47,3.323,41.161,0,255,16.142,0,255
48,6.307,62.956,0,255,24.689,0,255
49,7.092,57.399,0,255,22.509,0,255
50,12.718,150.586,0,255,59.053,0,255
51,0.693,0.000,0,0,0.000,0,255
52,3.520,47.398,0,255,18.587,0,255
53,0.602,22.174,0,255,8.696,0,255
54,3.454,16.420,0,255,6.439,0,255
55,9.512,30.165,0,255,11.829,0,255
56,2.565,98.878,0,255,38.776,0,255
57,2.250,35.581,0,255,13.953,0,255
58,3.768,46.042,0,255,18.056,0,255
59,8.662,0.000,0,0,0.000,0,255
60,3.284,49.781,0,255,19.522,0,255
61,2.250,59.302,0,255,23.256,0,255
62,2.264,26.532,0,255,10.405,0,255
63,2.107,57.019,0,255,22.360,0,255
64,2.237,65.614,0,255,25.731,0,255
65,5.561,17.400,0,255,6.824,0,255
66,4.213,19.798,0,255,7.764,0,255
67,2.342,29.916,0,255,11.732,0,255
68,2.290,58.286,0,255,22.857,0,255
69,11.514,17.097,0,255,6.705,0,255
70,3.049,24.077,0,255,9.442,0,255
71,1.557,0.000,0,0,0.000,0,255
72,2.316,67.712,0,255,26.554,0,255
73,2.591,133.939,0,255,52.525,0,255
74,2.133,26.595,0,255,10.429,0,255
75,2.525,52.850,0,255,20.725,0,255
76,2.447,66.818,0,255,26.203,0,255
77,3.677,62.616,0,255,24.555,0,255
78,5.888,44.200,0,255,17.333,0,255
79,2.630,39.328,0,255,15.423,0,255
80,2.617,0.000,0,0,0.000,0,255
81,1.243,21.474,0,255,8.421,0,255
82,6.608,91.901,0,255,36.040,0,255
83,2.434,35.645,0,255,13.978,0,255
84,3.009,0.000,0,0,0.000,0,255
85,1.636,0.000,0,0,0.000,0,255
86,2.879,64.909,0,255,25.455,0,255
87,1.662,66.260,0,255,25.984,0,255
88,5.508,145.368,0,255,57.007,0,255
89,3.520,132.714,0,255,52.045,0,255
90,1.413,0.000,0,0,0.000,0,255
91,8.178,33.864,0,255,13.280,0,255
92,1.832,147.536,0,255,57.857,0,255
93,2.800,56.005,0,255,21.963,0,255
94,2.695,97.791,0,255,38.350,0,255
95,4.671,35.000,0,255,13.725,0,255
96,2.028,0.000,0,0,0.000,0,255
97,2.120,47.222,0,255,18.519,0,255
98,8.714,57.815,0,255,22.673,0,255
99,12.705,27.837,0,255,10.917,0,255
100,4.069,79.534,0,255,31.190,0,255
101,10.847,173.179,0,255,67.913,0,255
102,1.335,25.000,0,255,9.804,0,255
103,0.798,0.000,0,0,0.000,0,255
104,3.376,43.488,0,255,17.054,0,255
105,2.970,44.934,0,255,17.621,0,255
106,12.522,34.639,0,255,13.584,0,255
107,10.363,40.890,0,255,16.035,0,255
108,4.789,36.926,0,255,14.481,0,255
109,2.421,71.676,0,255,28.108,0,255
110,4.684,45.587,0,255,17.877,0,255
111,2.839,96.359,0,255,37.788,0,255
112,1.322,0.000,0,0,0.000,0,255
113,10.415,12.494,0,255,4.899,0,255
114,1.557,15.000,0,255,5.882,0,255
115,0.916,14.571,0,255,5.714,0,255
116,1.138,137.759,0,255,54.023,0,255
117,6.123,102.436,0,255,40.171,0,255
118,2.708,45.580,0,255,17.874,0,255
119,6.529,24.529,0,255,9.619,0,255
120,0.589,0.000,0,0,0.000,0,255
121,5.731,17.466,0,255,6.849,0,255
122,7.209,12.958,0,255,5.082,0,255
123,1.766,51.000,0,255,20.000,0,255
124,3.651,188.280,0,255,73.835,0,255
125,12.181,136.676,0,255,53.598,0,255
126,13.817,182.315,0,255,71.496,0,255
127,2.839,85.783,0,255,33.641,0,255
128,9.303,148.122,0,255,58.087,0,255
129,4.292,30.320,0,255,11.890,0,255
130,3.389,116.178,0,255,45.560,0,255
131,2.028,194.129,0,255,76.129,0,255
132,1.884,0.000,0,0,0.000,0,255
133,0.785,17.000,0,255,6.667,0,255
134,3.114,50.357,0,255,19.748,0,255
135,0.707,9.444,0,255,3.704,0,255
136,0.903,14.783,0,255,5.797,0,255
137,2.983,16.776,0,255,6.579,0,255
138,3.624,17.491,0,255,6.859,0,255
139,10.651,174.177,0,255,68.305,0,255
140,2.708,60.362,0,255,23.671,0,255
141,6.254,32.542,0,255,12.762,0,255
142,9.434,162.337,0,255,63.662,0,255
143,0.693,48.113,0,255,18.868,0,255
144,5.037,5.299,0,255,2.078,0,255
145,3.022,154.545,0,255,60.606,0,255
146,2.093,25.500,0,255,10.000,0,255
147,3.480,146.673,0,255,57.519,0,255
148,5.652,53.715,0,255,21.065,0,255
149,4.409,40.104,0,255,15.727,0,255
150,1.230,0.000,0,0,0.000,0,255
151,7.707,9.958,0,255,3.905,0,255
152,2.892,106.154,0,255,41.629,0,255
153,4.056,174.387,0,255,68.387,0,255
154,9.761,58.452,0,255,22.922,0,255
155,5.221,39.624,0,255,15.539,0,255
156,7.000,36.701,0,255,14.393,0,255
157,2.120,18.889,0,255,7.407,0,255
158,7.576,32.591,0,255,12.781,0,255
159,2.957,117.345,0,255,46.018,0,255
160,7.118,44.062,0,255,17.279,0,255
161,0.589,39.667,0,255,15.556,0,255
162,2.473,71.508,0,255,28.042,0,255
163,3.454,104.318,0,255,40.909,0,255
164,2.538,47.320,0,255,18.557,0,255
165,2.643,30.297,0,255,11.881,0,255
166,1.073,71.524,0,255,28.049,0,255
167,2.028,54.290,0,255,21.290,0,255
168,1.740,26.842,0,255,10.526,0,255
169,3.363,63.502,0,255,24.903,0,255
170,1.282,7.806,0,255,3.061,0,255
171,3.271,33.660,0,255,13.200,0,255
172,2.381,107.885,0,255,42.308,0,255
173,2.054,0.000,0,0,0.000,0,255
174,5.639,15.974,0,255,6.265,0,255
175,0.536,0.000,0,0,0.000,0,255
176,4.763,36.429,0,255,14.286,0,255
177,2.421,93.730,0,255,36.757,0,255
178,0.707,70.833,0,255,27.778,0,255
179,1.936,255.000,255,255,100.000,0,255
180,2.408,16.630,0,255,6.522,0,255
181,1.714,214.122,0,255,83.969,0,255
182,6.712,102.895,0,255,40.351,0,255
183,1.740,126.541,0,255,49.624,0,255
184,2.329,38.680,0,255,15.169,0,255
185,2.015,105.974,0,255,41.558,0,255
186,2.421,141.973,0,255,55.676,0,255
187,4.802,19.455,0,255,7.629,0,255
188,1.871,39.231,0,255,15.385,0,255
189,4.357,88.829,0,255,34.835,0,255
190,1.426,7.018,0,255,2.752,0,255
191,6.568,32.002,0,255,12.550,0,255
192,1.439,0.000,0,0,0.000,0,255
193,3.271,46.920,0,255,18.400,0,255
194,5.770,80.374,0,255,31.519,0,255
195,2.290,64.114,0,255,25.143,0,255
196,2.028,218.806,0,255,85.806,0,255
197,1.492,76.053,0,255,29.825,0,255
198,1.230,56.968,0,255,22.340,0,255
199,1.871,64.196,0,255,25.175,0,255
200,2.159,32.455,0,255,12.727,0,255
