 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,0.680,49.038,0,255,19.231,0,255
2,9.722,28.486,0,255,11.171,0,255
3,1.714,120.687,0,255,47.328,0,255
4,2.277,33.707,0,255,13.218,0,255
5,1.557,17.143,0,255,6.723,0,255
6,3.637,19.263,0,255,7.554,0,255
7,1.282,18.214,0,255,7.143,0,255
8,0.654,102.000,0,255,40.000,0,255
9,0.523,0.000,0,0,0.000,0,255
10,0.837,0.000,0,0,0.000,0,255
11,0.877,87.537,0,255,34.328,0,255
12,0.576,0.000,0,0,0.000,0,255
13,3.271,42.840,0,255,16.800,0,255
14,4.331,0.000,0,0,0.000,0,255
15,12.613,65.337,0,255,25.622,0,255
16,5.875,1.136,0,255,0.445,0,255
17,3.572,126.099,0,255,49.451,0,255
18,2.525,63.420,0,255,24.870,0,255
19,2.761,12.085,0,255,4.739,0,255
20,4.723,7.064,0,255,2.770,0,255
21,4.828,95.366,0,255,37.398,0,255
22,7.157,18.647,0,255,7.313,0,255
23,3.075,59.681,0,255,23.404,0,255
24,4.907,31.280,0,255,12.267,0,255
25,1.112,12.000,0,255,4.706,0,255
26,8.335,47.637,0,255,18.681,0,255
27,7.301,37.016,0,255,14.516,0,255
28,2.237,0.000,0,0,0.000,0,255
29,7.602,0.000,0,0,0.000,0,255
30,2.630,68.507,0,255,26.866,0,255
31,2.617,61.200,0,255,24.000,0,255
32,0.785,0.000,0,0,0.000,0,255
33,2.996,32.293,0,255,12.664,0,255
34,2.761,41.090,0,255,16.114,0,255
35,2.944,108.800,0,255,42.667,0,255
36,1.295,20.606,0,255,8.081,0,255
37,4.422,64.127,0,255,25.148,0,255
38,2.656,48.990,0,255,19.212,0,255
39,7.916,192.198,0,255,75.372,0,255
40,2.342,11.397,0,255,4.469,0,255
41,10.232,15.978,0,255,6.266,0,255
42,7.026,67.430,0,255,26.443,0,255
43,1.950,68.456,0,255,26.846,0,255
44,2.329,44.410,0,255,17.416,0,255
45,2.434,5.484,0,255,2.151,0,255
46,2.813,0.000,0,0,0.000,0,255
47,0.955,24.452,0,255,9.589,0,255
48,2.551,0.000,0,0,0.000,0,255
49,2.460,58.324,0,255,22.872,0,255
50,1.649,44.524,0,255,17.460,0,255
51,2.787,41.901,0,255,16.432,0,255
52,1.688,0.000,0,0,0.000,0,255
53,3.389,63.012,0,255,24.710,0,255
54,5.430,165.904,0,255,65.060,0,255
55,4.122,89.048,0,255,34.921,0,255
56,7.707,34.202,0,255,13.413,0,255
57,3.245,53.468,0,255,20.968,0,255
58,2.486,0.000,0,0,0.000,0,255
59,1.649,0.000,0,0,0.000,0,255
60,1.806,62.826,0,255,24.638,0,255
61,2.394,4.180,0,255,1.639,0,255
62,3.310,0.000,0,0,0.000,0,255
63,0.903,48.043,0,255,18.841,0,255
64,2.473,40.476,0,255,15.873,0,255
65,3.480,90.113,0,255,35.338,0,255
66,3.533,2.833,0,255,1.111,0,255
67,4.815,121.264,0,255,47.554,0,255
68,2.551,0.000,0,0,0.000,0,255
69,4.422,120.710,0,255,47.337,0,255
70,1.976,27.020,0,255,10.596,0,255
71,3.585,0.000,0,0,0.000,0,255
72,5.652,28.924,0,255,11.343,0,255
73,2.604,60.226,0,255,23.618,0,255
74,6.647,0.000,0,0,0.000,0,255
75,10.978,38.296,0,255,15.018,0,255
76,2.852,100.596,0,255,39.450,0,255
77,1.950,71.879,0,255,28.188,0,255
78,3.088,21.610,0,255,8.475,0,255
79,2.185,44.281,0,255,17.365,0,255
80,2.107,25.342,0,255,9.938,0,255
81,1.701,0.000,0,0,0.000,0,255
82,3.062,42.500,0,255,16.667,0,255
83,3.664,188.518,0,255,73.929,0,255
84,2.133,61.012,0,255,23.926,0,255
85,3.088,128.581,0,255,50.424,0,255
86,2.172,26.114,0,255,10.241,0,255
87,7.772,39.924,0,255,15.657,0,255
88,7.105,13.619,0,255,5.341,0,255
89,14.759,209.561,0,255,82.181,0,255
90,7.824,152.232,0,255,59.699,0,255
91,2.133,15.644,0,255,6.135,0,255
92,4.828,73.252,0,255,28.726,0,255
93,10.193,236.996,0,255,92.940,0,255
