 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,2.185,0.000,0,0,0.000,0,255
2,1.269,118.299,0,255,46.392,0,255
3,1.034,83.924,0,255,32.911,0,255
4,1.125,192.733,0,255,75.581,0,255
5,7.196,201.218,0,255,78.909,0,255
6,2.224,0.000,0,0,0.000,0,255
7,7.811,96.106,0,255,37.688,0,255
8,3.938,120.299,0,255,47.176,0,255
9,8.649,65.582,0,255,25.719,0,255
10,4.527,0.000,0,0,0.000,0,255
11,4.553,0.000,0,0,0.000,0,255
12,3.258,17.410,0,255,6.827,0,255
13,2.329,118.904,0,255,46.629,0,255
14,2.499,105.471,0,255,41.361,0,255
15,4.213,0.000,0,0,0.000,0,255
16,2.774,144.340,0,255,56.604,0,255
17,13.869,73.373,0,255,28.774,0,255
18,3.507,146.530,0,255,57.463,0,255
19,3.193,0.000,0,0,0.000,0,255
20,2.826,74.375,0,255,29.167,0,255
21,6.372,39.271,0,255,15.400,0,255
22,3.441,101.806,0,255,39.924,0,255
23,5.194,114.975,0,255,45.088,0,255
24,3.847,108.418,0,255,42.517,0,255
25,2.525,73.990,0,255,29.016,0,255
26,9.565,66.279,0,255,25.992,0,255
27,3.415,72.299,0,255,28.352,0,255
28,2.447,75.000,0,255,29.412,0,255
29,2.381,65.852,0,255,25.824,0,255
30,3.585,90.274,0,255,35.401,0,255
31,2.918,4.574,0,255,1.794,0,255
32,3.873,55.135,0,255,21.622,0,255
33,3.742,77.570,0,255,30.420,0,255
34,4.305,226.322,0,255,88.754,0,255
35,4.017,62.296,0,255,24.430,0,255
36,7.105,80.773,0,255,31.676,0,255
37,2.748,0.000,0,0,0.000,0,255
38,6.032,0.000,0,0,0.000,0,255
39,2.774,78.184,0,255,30.660,0,255
40,5.037,67.558,0,255,26.494,0,255
41,2.617,38.250,0,255,15.000,0,255
42,0.615,157.340,0,255,61.702,0,255
43,3.402,135.346,0,255,53.077,0,255
44,5.247,51.509,0,255,20.200,0,255
45,5.391,76.129,0,255,29.854,0,255
46,2.748,21.857,0,255,8.571,0,255
47,3.886,1.717,0,255,0.673,0,255
48,4.135,0.000,0,0,0.000,0,255
49,1.596,45.984,0,255,18.033,0,255
50,0.693,245.377,0,255,96.226,0,255
51,4.514,89.435,0,255,35.072,0,255
52,3.507,172.220,0,255,67.537,0,255
53,3.088,23.771,0,255,9.322,0,255
54,1.361,205.962,0,255,80.769,0,255
55,2.512,0.000,0,0,0.000,0,255
56,2.931,128.638,0,255,50.446,0,255
57,4.017,49.007,0,255,19.218,0,255
58,4.985,26.772,0,255,10.499,0,255
59,2.748,52.214,0,255,20.476,0,255
60,2.381,0.000,0,0,0.000,0,255
61,3.520,0.000,0,0,0.000,0,255
62,9.538,64.362,0,255,25.240,0,255
63,3.153,68.776,0,255,26.971,0,255
64,4.697,174.735,0,255,68.524,0,255
65,6.477,182.879,0,255,71.717,0,255
66,1.322,0.000,0,0,0.000,0,255
67,5.338,105.000,0,255,41.176,0,255
68,5.273,120.856,0,255,47.395,0,255
69,2.892,99.231,0,255,38.914,0,255
70,2.250,56.337,0,255,22.093,0,255
71,2.486,77.842,0,255,30.526,0,255
72,2.669,66.250,0,255,25.980,0,255
73,6.608,97.455,0,255,38.218,0,255
74,5.116,72.391,0,255,28.389,0,255
75,4.279,92.798,0,255,36.391,0,255
76,7.968,63.645,0,255,24.959,0,255
77,1.492,0.000,0,0,0.000,0,255
78,3.363,93.268,0,255,36.576,0,255
79,1.308,0.000,0,0,0.000,0,255
80,2.067,0.000,0,0,0.000,0,255
81,5.849,46.779,0,255,18.345,0,255
82,10.795,53.164,0,255,20.848,0,255
83,4.566,67.951,0,255,26.648,0,255
84,7.968,33.498,0,255,13.136,0,255
85,0.968,20.676,0,255,8.108,0,255
86,6.843,100.440,0,255,39.388,0,255
87,3.140,0.000,0,0,0.000,0,255
88,2.578,78.959,0,255,30.964,0,255
89,2.617,161.925,0,255,63.500,0,255
90,6.215,96.095,0,255,37.684,0,255
91,3.075,156.255,0,255,61.277,0,255
92,12.456,28.661,0,255,11.239,0,255
93,5.966,37.467,0,255,14.693,0,255
94,2.865,158.356,0,255,62.100,0,255
95,2.460,0.000,0,0,0.000,0,255
96,3.755,113.728,0,255,44.599,0,255
97,4.357,94.189,0,255,36.937,0,255
98,11.148,66.444,0,255,26.056,0,255
99,3.637,222.896,0,255,87.410,0,255
100,2.185,65.659,0,255,25.749,0,255
101,3.101,57.025,0,255,22.363,0,255
102,2.538,102.526,0,255,40.206,0,255
103,4.841,160.581,0,255,62.973,0,255
104,10.952,81.953,0,255,32.139,0,255
105,2.656,128.128,0,255,50.246,0,255
106,5.365,131.232,0,255,51.463,0,255
107,2.394,78.033,0,255,30.601,0,255
108,1.426,14.037,0,255,5.505,0,255
109,9.277,107.898,0,255,42.313,0,255
110,3.219,0.000,0,0,0.000,0,255
111,2.368,88.757,0,255,34.807,0,255
112,2.525,68.705,0,255,26.943,0,255
113,2.146,97.957,0,255,38.415,0,255
114,5.090,114.717,0,255,44.987,0,255
115,2.408,0.000,0,0,0.000,0,255
116,3.323,78.307,0,255,30.709,0,255
117,2.957,0.000,0,0,0.000,0,255
118,2.421,0.000,0,0,0.000,0,255
119,2.551,90.231,0,255,35.385,0,255
120,2.394,107.295,0,255,42.077,0,255
121,2.774,70.967,0,255,27.830,0,255
122,3.794,58.034,0,255,22.759,0,255
123,1.518,15.388,0,255,6.034,0,255
124,4.056,129.968,0,255,50.968,0,255
125,3.690,169.096,0,255,66.312,0,255
126,1.204,88.696,0,255,34.783,0,255
127,3.703,52.261,0,255,20.495,0,255
128,1.583,25.289,0,255,9.917,0,255
129,2.198,54.643,0,255,21.429,0,255
130,1.217,145.323,0,255,56.989,0,255
131,2.538,0.000,0,0,0.000,0,255
132,2.159,7.727,0,255,3.030,0,255
133,2.905,114.865,0,255,45.045,0,255
134,5.875,173.786,0,255,68.151,0,255
135,7.353,49.457,0,255,19.395,0,255
136,3.179,85.000,0,255,33.333,0,255
137,4.174,115.909,0,255,45.455,0,255
138,2.250,0.000,0,0,0.000,0,255
139,6.922,69.414,0,255,27.221,0,255
140,3.153,74.066,0,255,29.046,0,255
141,0.916,0.000,0,0,0.000,0,255
142,2.983,0.000,0,0,0.000,0,255
143,5.378,116.022,0,255,45.499,0,255
144,1.989,67.105,0,255,26.316,0,255
145,3.284,32.510,0,255,12.749,0,255
146,6.228,192.857,0,255,75.630,0,255
147,1.950,0.000,0,0,0.000,0,255
148,5.155,185.749,0,255,72.843,0,255
149,5.417,71.449,0,255,28.019,0,255
150,8.557,125.161,0,255,49.083,0,255
151,5.901,154.922,0,255,60.754,0,255
152,5.391,118.216,0,255,46.359,0,255
153,2.839,0.000,0,0,0.000,0,255
154,2.002,23.333,0,255,9.150,0,255
155,1.217,16.452,0,255,6.452,0,255
156,3.114,133.929,0,255,52.521,0,255
157,1.518,26.379,0,255,10.345,0,255
158,11.004,110.975,0,255,43.520,0,255
159,7.393,94.327,0,255,36.991,0,255
160,2.447,64.091,0,255,25.134,0,255
161,5.064,104.109,0,255,40.827,0,255
162,3.847,0.000,0,0,0.000,0,255
