 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,3.022,55.195,0,255,21.645,0,255
2,3.193,52.254,0,255,20.492,0,255
3,12.600,38.660,0,255,15.161,0,255
4,9.682,43.419,0,255,17.027,0,255
5,2.918,28.587,0,255,11.211,0,255
6,1.544,255.000,255,255,100.000,0,255
7,1.662,60.236,0,255,23.622,0,255
8,1.165,0.000,0,0,0.000,0,255
9,2.931,0.000,0,0,0.000,0,255
10,6.006,23.333,0,255,9.150,0,255
11,2.826,38.958,0,255,15.278,0,255
12,0.877,102.761,0,255,40.299,0,255
13,0.707,18.889,0,255,7.407,0,255
14,2.394,128.197,0,255,50.273,0,255
15,1.112,0.000,0,0,0.000,0,255
16,3.101,27.975,0,255,10.970,0,255
17,9.303,147.764,0,255,57.947,0,255
18,6.516,13.313,0,255,5.221,0,255
19,5.286,166.002,0,255,65.099,0,255
20,1.361,90.721,0,255,35.577,0,255
21,2.604,5.126,0,255,2.010,0,255
22,4.527,15.477,0,255,6.069,0,255
23,4.095,41.550,0,255,16.294,0,255
24,2.120,0.000,0,0,0.000,0,255
25,2.695,37.136,0,255,14.563,0,255
26,2.408,0.000,0,0,0.000,0,255
27,2.224,60.000,0,255,23.529,0,255
28,1.923,46.837,0,255,18.367,0,255
29,2.394,58.525,0,255,22.951,0,255
30,2.879,8.114,0,255,3.182,0,255
31,2.695,121.311,0,255,47.573,0,255
32,3.428,115.821,0,255,45.420,0,255
33,6.189,33.425,0,255,13.108,0,255
34,3.677,44.466,0,255,17.438,0,255
35,3.533,137.889,0,255,54.074,0,255
36,1.871,62.413,0,255,24.476,0,255
37,9.866,150.836,0,255,59.151,0,255
38,2.892,27.692,0,255,10.860,0,255
39,1.596,0.000,0,0,0.000,0,255
40,4.462,11.965,0,255,4.692,0,255
41,11.344,228.529,0,255,89.619,0,255
42,2.512,71.719,0,255,28.125,0,255
43,3.153,32.801,0,255,12.863,0,255
44,12.626,27.218,0,255,10.674,0,255
45,5.024,28.555,0,255,11.198,0,255
46,2.041,68.654,0,255,26.923,0,255
47,5.888,65.167,0,255,25.556,0,255
