 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,2.067,51.646,0,255,20.253,0,255
2,2.944,44.200,0,255,17.333,0,255
3,7.589,52.759,0,255,20.690,0,255
4,1.060,56.667,0,255,22.222,0,255
5,1.295,18.030,0,255,7.071,0,255
6,5.194,171.499,0,255,67.254,0,255
7,1.923,246.327,0,255,96.599,0,255
8,1.518,195.647,0,255,76.724,0,255
9,4.854,24.057,0,255,9.434,0,255
10,6.123,190.705,0,255,74.786,0,255
11,1.779,198.750,0,255,77.941,0,255
12,2.643,2.525,0,255,0.990,0,255
13,10.494,146.259,0,255,57.357,0,255
14,2.277,16.121,0,255,6.322,0,255
15,4.344,31.491,0,255,12.349,0,255
16,2.277,0.000,0,0,0.000,0,255
17,1.021,0.000,0,0,0.000,0,255
18,3.179,0.000,0,0,0.000,0,255
19,5.430,112.446,0,255,44.096,0,255
20,2.002,0.000,0,0,0.000,0,255
21,2.185,38.174,0,255,14.970,0,255
22,14.013,26.190,0,255,10.271,0,255
23,1.361,0.000,0,0,0.000,0,255
24,3.925,28.900,0,255,11.333,0,255
25,4.174,0.000,0,0,0.000,0,255
26,7.824,46.480,0,255,18.227,0,255
27,1.465,36.429,0,255,14.286,0,255
28,8.675,54.615,0,255,21.418,0,255
29,3.572,91.538,0,255,35.897,0,255
30,3.585,36.296,0,255,14.234,0,255
31,8.531,210.805,0,255,82.669,0,255
32,3.965,91.733,0,255,35.974,0,255
33,3.232,72.267,0,255,28.340,0,255
34,5.927,9.007,0,255,3.532,0,255
35,3.153,50.788,0,255,19.917,0,255
36,2.303,28.977,0,255,11.364,0,255
37,2.080,44.906,0,255,17.610,0,255
38,3.585,97.719,0,255,38.321,0,255
39,4.619,100.411,0,255,39.377,0,255
40,4.527,64.118,0,255,25.145,0,255
41,2.565,44.235,0,255,17.347,0,255
42,3.049,48.155,0,255,18.884,0,255
43,1.636,0.000,0,0,0.000,0,255
44,3.428,0.000,0,0,0.000,0,255
45,2.093,14.344,0,255,5.625,0,255
46,2.447,36.818,0,255,14.439,0,255
47,2.983,26.842,0,255,10.526,0,255
48,0.824,0.000,0,0,0.000,0,255
49,2.525,81.917,0,255,32.124,0,255
50,2.865,0.000,0,0,0.000,0,255
51,2.565,0.000,0,0,0.000,0,255
52,3.166,0.000,0,0,0.000,0,255
53,1.426,0.000,0,0,0.000,0,255
54,1.282,18.214,0,255,7.143,0,255
55,11.606,105.220,0,255,41.263,0,255
56,2.159,0.000,0,0,0.000,0,255
57,7.746,32.736,0,255,12.838,0,255
58,2.748,0.000,0,0,0.000,0,255
59,4.135,0.000,0,0,0.000,0,255
60,1.819,38.525,0,255,15.108,0,255
61,3.389,56.120,0,255,22.008,0,255
62,1.557,77.143,0,255,30.252,0,255
63,6.254,41.611,0,255,16.318,0,255
64,1.989,0.000,0,0,0.000,0,255
65,2.656,8.793,0,255,3.448,0,255
66,4.004,15.000,0,255,5.882,0,255
67,2.826,129.861,0,255,50.926,0,255
68,3.336,132.000,0,255,51.765,0,255
69,3.179,85.000,0,255,33.333,0,255
70,2.669,33.750,0,255,13.235,0,255
71,2.865,33.767,0,255,13.242,0,255
72,13.503,69.680,0,255,27.326,0,255
73,2.761,96.682,0,255,37.915,0,255
74,10.350,135.721,0,255,53.224,0,255
75,3.271,61.200,0,255,24.000,0,255
76,3.624,179.513,0,255,70.397,0,255
77,4.239,71.620,0,255,28.086,0,255
78,2.774,73.373,0,255,28.774,0,255
79,6.333,36.880,0,255,14.463,0,255
80,2.512,67.734,0,255,26.562,0,255
81,13.961,183.304,0,255,71.884,0,255
82,1.479,0.000,0,0,0.000,0,255
83,1.191,0.000,0,0,0.000,0,255
84,2.368,63.398,0,255,24.862,0,255
85,2.421,9.649,0,255,3.784,0,255
86,5.299,64.222,0,255,25.185,0,255
87,1.112,0.000,0,0,0.000,0,255
88,3.336,27.000,0,255,10.588,0,255
89,1.269,0.000,0,0,0.000,0,255
90,1.452,0.000,0,0,0.000,0,255
91,2.787,68.239,0,255,26.761,0,255
92,13.438,71.261,0,255,27.945,0,255
93,3.075,0.000,0,0,0.000,0,255
94,9.905,182.913,0,255,71.731,0,255
95,8.243,10.524,0,255,4.127,0,255
96,9.591,24.004,0,255,9.413,0,255
97,12.024,109.603,0,255,42.982,0,255
98,2.329,45.843,0,255,17.978,0,255
99,1.086,92.169,0,255,36.145,0,255
100,2.682,62.195,0,255,24.390,0,255
101,1.400,76.262,0,255,29.907,0,255
102,3.651,114.247,0,255,44.803,0,255
103,3.153,186.224,0,255,73.029,0,255
104,3.127,112.029,0,255,43.933,0,255
105,2.290,222.943,0,255,87.429,0,255
106,2.486,75.158,0,255,29.474,0,255
107,2.211,73.935,0,255,28.994,0,255
108,7.236,9.222,0,255,3.617,0,255
